PTS,FG_PCT,FG3_PCT,FT_PCT,DREB,OREB,AST,TOV,STL,BLK,PLUS_MINUS,PTS,FG_PCT,FG3_PCT,FT_PCT,DREB,OREB,AST,TOV,STL,BLK,PLUS_MINUS,WL
2.1041666666666665,0.406,0.235,0.484,0.75,0.5416666666666666,0.4166666666666667,0.1875,0.20833333333333334,0.3541666666666667,0.3541666666666667,1.75,0.381,0.364,0.762,0.8333333333333334,0.3333333333333333,0.3541666666666667,0.375,0.10416666666666667,0.1875,-0.3541666666666667,1
2.1041666666666665,0.529,0.5,0.813,0.6041666666666666,0.1875,0.4791666666666667,0.4375,0.10416666666666667,0.0625,0.020833333333333332,2.0833333333333335,0.487,0.381,0.842,0.5,0.1875,0.3541666666666667,0.20833333333333334,0.1875,0.0625,-0.020833333333333332,1
1.875,0.354,0.3,0.795,0.5208333333333334,0.22916666666666666,0.3333333333333333,0.2708333333333333,0.14583333333333334,0.0625,-0.375,2.25,0.425,0.414,0.68,0.6875,0.2916666666666667,0.4583333333333333,0.2916666666666667,0.14583333333333334,0.0625,0.375,0
2.0377358490566038,0.406,0.286,0.69,0.660377358490566,0.2830188679245283,0.5094339622641509,0.24528301886792453,0.1509433962264151,0.16981132075471697,0.03773584905660377,2.0,0.488,0.5,0.875,0.6037735849056604,0.05660377358490566,0.4716981132075472,0.2830188679245283,0.16981132075471697,0.18867924528301888,-0.03773584905660377,1
2.1458333333333335,0.469,0.32,0.679,0.75,0.2916666666666667,0.4583333333333333,0.375,0.10416666666666667,0.2708333333333333,0.25,1.8958333333333333,0.382,0.286,0.567,0.5625,0.3125,0.3541666666666667,0.22916666666666666,0.20833333333333334,0.10416666666666667,-0.25,1
2.5208333333333335,0.557,0.364,0.652,0.5416666666666666,0.1875,0.5833333333333334,0.2708333333333333,0.22916666666666666,0.10416666666666667,0.3333333333333333,2.1875,0.488,0.368,0.769,0.625,0.1875,0.4166666666666667,0.4375,0.125,0.14583333333333334,-0.3333333333333333,1
1.9791666666666667,0.48,0.316,0.708,0.6041666666666666,0.14583333333333334,0.4166666666666667,0.2916666666666667,0.14583333333333334,0.041666666666666664,-0.25,2.2291666666666665,0.481,0.321,0.87,0.6666666666666666,0.25,0.4166666666666667,0.2916666666666667,0.1875,0.0625,0.25,0
2.125,0.5,0.591,0.529,0.6666666666666666,0.20833333333333334,0.5416666666666666,0.3958333333333333,0.125,0.16666666666666666,-0.14583333333333334,2.2708333333333335,0.411,0.308,0.818,0.6666666666666666,0.3333333333333333,0.5416666666666666,0.20833333333333334,0.2708333333333333,0.1875,0.14583333333333334,0
2.1041666666666665,0.453,0.5,0.739,0.5833333333333334,0.3958333333333333,0.4166666666666667,0.4791666666666667,0.16666666666666666,0.08333333333333333,-0.08333333333333333,2.1875,0.524,0.267,0.75,0.4791666666666667,0.20833333333333334,0.4375,0.3541666666666667,0.20833333333333334,0.10416666666666667,0.08333333333333333,0
2.1666666666666665,0.507,0.292,0.833,0.7708333333333334,0.20833333333333334,0.4375,0.3125,0.1875,0.08333333333333333,0.5,1.6666666666666667,0.365,0.176,0.882,0.5,0.2916666666666667,0.3958333333333333,0.25,0.1875,0.10416666666666667,-0.5,1
1.6458333333333333,0.369,0.231,0.579,0.7708333333333334,0.16666666666666666,0.3125,0.3333333333333333,0.08333333333333333,0.10416666666666667,-0.20833333333333334,1.8541666666666667,0.353,0.25,0.742,0.7708333333333334,0.2916666666666667,0.3541666666666667,0.3125,0.14583333333333334,0.08333333333333333,0.20833333333333334,0
1.9375,0.469,0.167,0.824,0.4375,0.2708333333333333,0.3333333333333333,0.2916666666666667,0.16666666666666666,0.125,-0.22916666666666666,2.2083333333333335,0.472,0.4665,0.6970000000000001,0.625,0.22916666666666666,0.4166666666666667,0.3333333333333333,0.14583333333333334,0.09375,0.3020833333333333,0
2.4791666666666665,0.549,0.5,0.722,0.6458333333333334,0.1875,0.4791666666666667,0.2916666666666667,0.10416666666666667,0.0625,0.4166666666666667,1.96875,0.392,0.304,0.8175,0.53125,0.23958333333333334,0.375,0.2916666666666667,0.16666666666666666,0.0625,-0.3958333333333333,1
1.6041666666666667,0.308,0.167,0.743,0.7291666666666666,0.3125,0.2708333333333333,0.5625,0.22916666666666666,0.0625,-0.375,1.9791666666666667,0.44,0.222,0.719,0.7708333333333334,0.14583333333333334,0.4375,0.4583333333333333,0.25,0.16666666666666666,0.375,0
1.8541666666666667,0.407,0.125,0.808,0.6041666666666666,0.2916666666666667,0.3958333333333333,0.3125,0.1875,0.10416666666666667,-0.3541666666666667,2.2083333333333335,0.448,0.379,0.773,0.6041666666666666,0.2708333333333333,0.4791666666666667,0.20833333333333334,0.08333333333333333,0.1875,0.3541666666666667,0
2.0833333333333335,0.484,0.42700000000000005,0.7384999999999999,0.625,0.13541666666666666,0.4375,0.2708333333333333,0.17708333333333334,0.020833333333333332,-0.052083333333333336,1.8958333333333333,0.4475,0.382,0.756,0.7291666666666666,0.19791666666666666,0.3854166666666667,0.375,0.09375,0.10416666666666667,-0.25,1
1.7708333333333333,0.39349999999999996,0.28200000000000003,0.597,0.71875,0.22916666666666666,0.3645833333333333,0.2916666666666667,0.07291666666666667,0.10416666666666667,-0.16666666666666666,2.0625,0.47,0.45,0.7090000000000001,0.6354166666666666,0.3020833333333333,0.3958333333333333,0.3645833333333333,0.16666666666666666,0.07291666666666667,0.020833333333333332,0
